縣市及鄉鎮市區,Capacity_High Risk,Capacity_Low Risk,Capacity_Medium Risk,Capacity_Safe,Count_High Risk,Count_Low Risk,Count_Medium Risk,Count_Safe,Total_Shelters,Total_Capacity,High_Risk_Percentage
嘉義縣中埔鄉,7520.0,120.0,430.0,1700.0,18.0,4.0,9.0,11.0,42.0,9770.0,42.9
桃園市中壢區,5778.0,10865.0,18321.0,23487.0,16.0,15.0,19.0,41.0,91.0,58451.0,17.6
南投縣中寮鄉,700.0,0.0,680.0,0.0,10.0,0.0,11.0,0.0,21.0,1380.0,47.6
彰化縣二林鎮,1543.0,100.0,400.0,1875.0,9.0,1.0,2.0,17.0,29.0,3918.0,31.0
宜蘭縣蘇澳鎮,559.0,331.0,627.0,909.0,9.0,5.0,10.0,13.0,37.0,2426.0,24.3
新北市平溪區,1376.0,0.0,934.0,0.0,9.0,0.0,3.0,0.0,12.0,2310.0,75.0
新北市瑞芳區,3671.0,2014.0,1624.0,225.0,9.0,3.0,7.0,2.0,21.0,7534.0,42.9
新北市雙溪區,2340.0,79.0,2394.0,0.0,8.0,1.0,3.0,0.0,12.0,4813.0,66.7
基隆市中山區,430.0,250.0,697.0,540.0,8.0,2.0,14.0,7.0,31.0,1917.0,25.8
桃園市蘆竹區,650.0,460.0,1520.0,400.0,7.0,3.0,7.0,3.0,20.0,3030.0,35.0
雲林縣斗六市,1770.0,640.0,1130.0,3260.0,7.0,2.0,6.0,11.0,26.0,6800.0,26.9
桃園市桃園區,3600.0,4190.0,5259.0,12719.0,7.0,5.0,13.0,31.0,56.0,25768.0,12.5
基隆市安樂區,637.0,775.0,515.0,157.0,7.0,5.0,4.0,2.0,18.0,2084.0,38.9
新北市新店區,6459.0,14224.0,5504.0,13695.0,7.0,8.0,12.0,9.0,36.0,39882.0,19.4
南投縣國姓鄉,310.0,530.0,630.0,250.0,7.0,6.0,13.0,4.0,30.0,1720.0,23.3
南投縣南投市,1250.0,550.0,3350.0,1350.0,7.0,3.0,18.0,9.0,37.0,6500.0,18.9
新北市萬里區,2911.0,848.0,1655.0,375.0,7.0,4.0,4.0,2.0,17.0,5789.0,41.2
基隆市信義區,1108.0,217.0,347.0,212.0,6.0,2.0,6.0,3.0,17.0,1884.0,35.3
臺中市東勢區,3170.0,6450.0,38180.0,3424.0,6.0,6.0,6.0,6.0,24.0,51224.0,25.0
基隆市七堵區,240.0,88.0,1063.0,254.0,6.0,2.0,11.0,3.0,22.0,1645.0,27.3
高雄市楠梓區,2040.0,7037.0,5735.0,2302.0,5.0,7.0,7.0,4.0,23.0,17114.0,21.7
高雄市左營區,932.0,1101.0,7870.0,4520.0,5.0,5.0,7.0,13.0,30.0,14423.0,16.7
臺東縣卑南鄉,180.0,80.0,600.0,340.0,5.0,2.0,10.0,8.0,25.0,1200.0,20.0
高雄市三民區,2125.0,5678.0,12525.0,14389.0,5.0,7.0,12.0,14.0,38.0,34717.0,13.2
苗栗縣大湖鄉,700.0,100.0,900.0,400.0,5.0,1.0,8.0,4.0,18.0,2100.0,27.8
