name,address,longitude,latitude,capacity,county,district,village,disaster_types,indoor,outdoor,suitable_for_vulnerable,manager,phone,risk_level,risk_distance
北市大附小,公園路29號,120.913,22.4797,157,臺北市,臺北市中正區,黎明里,震災,True,False,False,邱靜萍,02-23110395#660,Low Risk,2000
德安市民活動中心,安康路二段183巷13-4號,121.0,24.0,22,新北市,新北市新店區,德安里,"水災,土石流",True,False,False,吳英同,02-29112281#1209,High Risk,1000
有木國小,有木里131號,121.4373,24.8533,109,新北市,新北市三峽區,有木里,"水災,震災,土石流,海嘯",True,True,False,吳政謀,02-26720067分機13,Low Risk,500
五寮市民活動中心,五寮93號,121.365455,24.863449,137,新北市,新北市三峽區,五寮里,"水災,震災,土石流,海嘯",True,False,False,吳香其,02-26711017分機207,Low Risk,500
烏來國民中小學,啦卡路5號,121.553147,24.863755,152,新北市,新北市烏來區,烏來里,"水災,土石流",True,False,True,林俊傑,02-26616482＃50,High Risk,1000
信賢活動中心,信福路48號,121.548453,24.883684,30,新北市,新北市烏來區,信賢里,"水災,土石流",True,False,True,趙絡涵,02-26616442,High Risk,2000
綜合活動中心,烏來街34號,121.548453,24.883684,30,新北市,新北市烏來區,烏來里,"水災,土石流",True,False,True,趙絡涵,02-26616442,Low Risk,2000
忠治活動中心,忠治14號,121.548453,24.883684,30,新北市,新北市烏來區,忠治里,"水災,土石流",True,False,True,趙絡涵,02-26616442,Medium Risk,0
福山活動中心,2鄰李茂岸51號,121.548453,24.883684,50,新北市,新北市烏來區,福山里,"水災,土石流",True,False,True,趙絡涵,02-26616442,Low Risk,2000
烏來活動中心,13鄰環山路82巷45號,121.548453,24.883684,50,新北市,新北市烏來區,烏來里,"水災,土石流",True,False,True,趙絡涵,02-26616442,Low Risk,1000
福山國小,福山里李茂岸56號,121.548453,24.883684,305,新北市,新北市烏來區,福山里,"水災,土石流",True,False,True,高世昌,2661-6421轉302,Low Risk,500
龜山國小,新北市新店區新烏路三段99巷10號,121.5532,24.9022,75,新北市,新北市新店區,龜山里,"水災,土石流",True,True,False,吳英同,02-29112281#1209,Low Risk,0
廣興里辦公處,新北市新店區平廣路一段35巷3號,121.533799,24.902531,37,新北市,新北市新店區,廣興里,震災,True,False,False,吳英同,02-29112281#1209,High Risk,0
龜山市民活動中心,新北市新店區新烏路3段136號,121.552,24.9031,133,新北市,新北市新店區,龜山里,"水災,土石流",True,True,False,吳英同,02-29112281#1209,Low Risk,500
石里倉庫,石27之1號,121.745228,24.904686,10,新北市,新北市坪林區,石[石曹]里,"水災,震災,土石流,海嘯",True,False,False,徐瑄維,02-26657251#240,Medium Risk,2000
大埔國小,大埔路130號,121.3665,24.9057,625,新北市,新北市三峽區,大埔里,"水災,震災,土石流,海嘯",True,True,False,陳秋榕,02-26712523分機150,High Risk,500
明德高中,中正路二段399號,121.3639,24.9069,1569,新北市,新北市三峽區,大埔里,"水災,震災,土石流,海嘯",True,True,True,劉懷恩,02-26723302分機240,Medium Risk,2000
竹崙市民活動中心,竹崙里146號,121.4349,24.9088,113,新北市,新北市三峽區,竹崙里,"水災,震災,土石流,海嘯",True,False,False,吳香其,02-26711017分機207,Medium Risk,500
臺北榮家,白雞127號,121.3937,24.9102,339,新北市,新北市三峽區,嘉添里,"水災,震災,土石流,海嘯",True,False,False,龍雨舞,02-2673-1201分機501,Medium Risk,1000
康橋高級中學,新北市新店區華城路800號,121.4978,24.9109,250,新北市,新北市新店區,華城里,水災,True,True,False,吳英同,02-29112281#1209,Medium Risk,2000
民義國小,白雞路40號,121.3755,24.912,975,新北市,新北市三峽區,嘉添里,"水災,震災,土石流,海嘯",True,True,False,宋長燕,02-26711895分機830,High Risk,1000
屈尺國小廣興分校,新店市廣興路57號。,121.5396,24.9125,37,新北市,新北市新店區,廣興里,"水災,震災",True,False,False,吳英同,02-29112281#1209,High Risk,0
屈尺國小,新北市新店區屈尺路五十五號,121.5463,24.9225,320,新北市,新北市新店區,屈尺里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,500
屈尺市民活動中心,新北市新店區屈尺路125號,121.544999,24.923518,75,新北市,新北市新店區,屈尺里,"水災,土石流",True,True,False,吳英同,29112281#1209,Medium Risk,0
大成國小,成福路215巷2號,121.4275,24.9243,187,新北市,新北市三峽區,成福里,"水災,震災,土石流,海嘯",True,True,False,陳俊佳,02-26726521分機115,High Risk,0
建安國小,建安路67號,121.4471,24.9264,292,新北市,新北市三峽區,安坑里,"水災,震災,土石流,海嘯",True,True,False,楊慧淳,02-26726783分機102,High Risk,0
安溪國中,大同路135號,121.3728,24.9266,1675,新北市,新北市三峽區,中正里,"水災,震災,土石流,海嘯",True,True,False,周中明,02-26717851分機150,High Risk,0
中園國小,弘園街22號,121.3672,24.9278,926,新北市,新北市三峽區,中埔里,"水災,震災,土石流,海嘯",True,True,False,黃邵偉,02-86712590分機831,Low Risk,500
介壽國小,大同路1號,121.3785,24.9298,289,新北市,新北市三峽區,介壽里,"水災,震災,土石流,海嘯",True,True,False,劉志銘,02-26712392分機41,Low Risk,0
安溪國小,中華路42號,121.3729,24.9304,435,新北市,新北市三峽區,安溪里,"水災,震災,土石流,海嘯",True,True,True,徐銘穗,02-26731488分機221,Low Risk,500
成福國小,溪東路213號,121.4057,24.9332,261,新北市,新北市三峽區,溪東里,"水災,震災,土石流,海嘯",True,True,True,李國梅,02-86764945分機12,Medium Risk,500
三峽國小,中山路16號,121.3697,24.9345,581,新北市,新北市三峽區,永?里,"水災,震災,土石流,海嘯",True,True,False,歐原誌,02-26711018分機832,Low Risk,1000
長青市民活動中心,中山路65號,121.367,24.93479,166,新北市,新北市三峽區,永?里,"水災,震災,土石流,海嘯",True,False,False,吳香其,26711017分機207,Medium Risk,2000
新北市坪林區公所,坪林101號,121.711784,24.93614,50,新北市,新北市坪林區,坪林里,"水災,震災,土石流,海嘯",True,True,True,徐瑄維,02-26657251#240,Medium Risk,2000
新北市坪林區坪林國民小學,坪林114號,121.71088,24.936238,314,新北市,新北市坪林區,坪林里,"水災,震災,土石流,海嘯",True,True,True,吳志?,02-26656213,Low Risk,500
直潭國小,新北市新店區直潭路92號,121.5313,24.9378,1600,新北市,新北市新店區,直潭里,,True,True,False,吳英同,02-29112281#1209,Medium Risk,1000
新北市立坪林國民中學,國中路4號,121.712825,24.938007,1144,新北市,新北市坪林區,坪林里,"水災,震災,土石流,海嘯",True,True,True,許書哲,02-26656210#13,Low Risk,500
三峽國中,復興路238號,121.3693,24.9391,1149,新北市,新北市三峽區,鳶山里,"水災,震災,土石流,海嘯",True,True,False,吳瑞祥,02-26738030,Low Risk,500
鶯歌高職,中正三路154號,121.335,24.9393,1513,新北市,新北市鶯歌區,二橋里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,High Risk,500
龍埔國小,大學路6號,121.377883,24.940679,855,新北市,新北市三峽區,龍埔里,"水災,震災,土石流,海嘯",True,False,True,王進添,26745666分機830,Low Risk,1000
二橋國小,鶯歌區中正三路106號,121.3376,24.9409,1284,新北市,新北市鶯歌區,二橋里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,High Risk,2000
新北市立尖山國民中學,鶯歌區國中街1號,121.3422,24.9437,622,新北市,新北市鶯歌區,尖山里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,Low Risk,1000
北大高中,大義路277號,121.376106,24.948608,1122,新北市,新北市三峽區,龍學里,"水災,震災,土石流,海嘯",True,True,True,朱肇維,26742666分機600,Low Risk,0
桃子腳國民中小學,學勤路555號,121.382973,24.94923,3155,新北市,新北市樹林區,南園里,"震災,土石流,海嘯",True,True,False,事務組長高志偉,89703225#142,High Risk,1000
南靖里活動中心,鶯歌區文化路395號,121.352776,24.950284,56,新北市,新北市鶯歌區,南靖里,"水災,土石流,海嘯",True,False,True,宋榮美,02-26780202,High Risk,1000
鶯歌國中,鶯歌區尖山埔路108號,121.3448,24.9504,1093,新北市,新北市鶯歌區,同慶里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,Low Risk,1000
新昇倉庫,大粗坑11之1號,121.725304,24.951077,10,新北市,新北市坪林區,上德里,"水災,震災,土石流,海嘯",True,False,False,徐瑄維,02-26657251#240,Medium Risk,1000
鶯歌國小,鶯歌區尖山埔路106號,121.3458,24.9512,1501,新北市,新北市鶯歌區,同慶里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,High Risk,2000
雙峰國小,新北市新店區北宜路三段66號,121.5755,24.9515,255,新北市,新北市新店區,雙坑里,"水災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,0
景文科技大學,新北市新店區安忠路99號,121.5093,24.952,1855,新北市,新北市新店區,公崙里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,2000
雙城國小,台北縣新店市安康路三段322號,121.4865,24.9521,399,新北市,新北市新店區,雙城里,"水災,震災",True,True,False,吳英同,02-29112281#1209,Medium Risk,2000
祖田市民活動中心,中央路4段285號2樓,121.411937,24.952776,50,新北市,新北市土城區,祖田里,"水災,土石流",True,False,False,呂惠美,02-22675698,High Risk,1000
新店國小,新北市新店區新店路2號,121.5402,24.9529,1795,新北市,新北市新店區,國校里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,500
青潭國小,新北市新店區北宜路二段80號,121.5523,24.9531,203,新北市,新北市新店區,美潭里,"水災,震災",True,True,False,吳英同,02-29112281#1209,High Risk,500
雲海國小,坑內1號,121.637,24.9533,299,新北市,新北市石碇區,格頭里,"水災,震災,土石流,海嘯",True,True,True,鄭淳文/李沛瑩,02-26651715#14/#16,Medium Risk,2000
達觀國民中小學,僑信路1號,121.49998,24.95362,407,新北市,新北市新店區,德安里,"水災,土石流",True,True,False,吳英同,02-29112281#1209,Low Risk,2000
雙城活動中心,新北市新店區安康路3段2號5樓,121.4937,24.9538,132,新北市,新北市新店區,雙城里,"水災,土石流",True,False,False,吳英同,02-29112281#1209,Low Risk,1000
柑園國中,柑園街二段125號,121.384115,24.95474,1238,新北市,新北市樹林區,柑園里,"水災,震災,土石流",True,True,False,事務組長林俐吟,26801958轉205,High Risk,2000
建國國小,鶯歌區育英街2號,121.3461,24.955,376,新北市,新北市鶯歌區,建國里,"水災,震災,土石流,海嘯",True,True,True,楊祚榮,02-26780202,Low Risk,1000
樹梅嶺倉庫,樹梅嶺11號,121.696956,24.955382,10,新北市,新北市坪林區,上德里,"水災,震災,土石流,海嘯",True,False,False,徐瑄維,02-26657251#240,Low Risk,500
昌福國小,鶯歌區永明街22號,121.3392,24.9556,1391,新北市,新北市鶯歌區,永昌里,"水災,震災,土石流,海嘯",True,True,False,楊祚榮,02-26780202,Medium Risk,500
北鶯里活動中心,仁愛路55號,121.354434,24.955861,37,新北市,新北市鶯歌區,北鶯里,"水災,震災,土石流,海嘯",True,False,True,楊祚榮,02-26780202,High Risk,0
頂埔國小,中央路4段205號,121.414403,24.95623,873,新北市,新北市土城區,頂福里,"水災,震災,土石流,海嘯",True,True,True,劉志峰,02-22686800-830,Medium Risk,500
柑園國小,柑園街一段353號,121.389362,24.956328,467,新北市,新北市樹林區,柑園里,"震災,土石流,海嘯",True,True,False,事務組長周憲昆,26802507#232,Medium Risk,2000
文山國中,新北市新店區文中路38號,121.5392,24.9567,703,新北市,新北市新店區,文中里,"水災,震災,土石流",True,True,False,吳英同,02-29112281#1209,Medium Risk,500
能仁家商,新北市新店區文中路53巷10號,121.5404,24.9569,1373,新北市,新北市新店區,文中里,"水災,震災",True,True,False,吳英同,02-29112281#1209,Medium Risk,1000
西鶯里活動中心,中正一路203號,121.3536,24.9572,207,新北市,新北市鶯歌區,西鶯里,"水災,震災,土石流,海嘯",True,False,True,楊祚榮,02-26780202,Medium Risk,500
文中廣明活動中心,新北市新店區北宜路一段39巷32號,121.5399,24.9577,45,新北市,新北市新店區,文中里,"水災,土石流",True,False,False,吳英同,02-29112281#1209,Medium Risk,0
永吉國小,鶯歌區德昌二街2號,121.3329,24.9588,440,新北市,新北市鶯歌區,永吉里,"水災,震災,土石流,海嘯",True,True,True,楊祚榮,02-26780202,Medium Risk,500
頂埔市民活動中心,中央路4段55-12號,121.417311,24.958966,60,新北市,新北市土城區,頂埔里,"水災,震災,土石流,海嘯",True,False,True,林忠謀,02-22678936,High Risk,1000
新北市坪林區坪林國小漁光校區,大舌湖35號,121.746242,24.959584,62,新北市,新北市坪林區,漁光里,"水災,震災,土石流,海嘯",True,True,True,吳志?,02-26656213#13,Low Risk,1000
頂城市民活動中心,新北市新店區安康路一段9-1號,121.532147,24.960733,119,新北市,新北市新店區,頂城里,"震災,土石流,海嘯",True,False,False,吳英同,29112281#1209,Medium Risk,2000
永寧市民活動中心,永寧路32巷10弄10號,121.42864,24.961098,30,新北市,新北市土城區,永寧里,"水災,土石流,海嘯",True,False,True,周清芳,02-22696053,Medium Risk,500
安坑國小,新北市新店區安忠路36號,121.5142,24.9613,901,新北市,新北市新店區,公崙里,"水災,震災,土石流",True,True,False,吳英同,02-291122811#1209,Medium Risk,1000
