district,shelter_count,capacity,high_risk_count,geometry,safe_capacity,capacity_loss_ratio
新生路,1,1024,1,POINT (121.4317 25.043),0.0,100.0
工商路,1,550,1,POINT (121.4393 25.083),0.0,100.0
延平北,1,100,1,POINT (121.491108 25.099607),0.0,100.0
後坑路,1,219,1,POINT (121.3493 25.1284),0.0,100.0
忠八街,1,1193,1,POINT (121.4194 25.1603),0.0,100.0
成功路,1,4950,1,POINT (121.603982 25.082835),0.0,100.0
成都街,1,191,1,POINT (121.4616 25.0048),0.0,100.0
插角2,1,148,1,POINT (121.533012 25.042385),0.0,100.0
新店市,2,685,2,POINT (121.5396 24.9125),0.0,100.0
新海路,1,3276,1,POINT (121.4597 25.0249),0.0,100.0
22號,1,425,1,POINT (121.3393 25.1083),0.0,100.0
新莊路,1,200,1,POINT (121.4565 25.0423),0.0,100.0
昇高里,1,87,1,POINT (121.6287 25.0049),0.0,100.0
暖碇路,1,32,1,POINT (121.7538 25.0958),0.0,100.0
東榮街,1,1013,1,POINT (121.8672 25.0334),0.0,100.0
松江街,1,2895,1,POINT (121.4684 25.0289),0.0,100.0
松江路,1,72,1,POINT (121.5335 25.0644),0.0,100.0
林口區,1,73,1,POINT (121.3847 25.1013),0.0,100.0
柑腳1,1,172,1,POINT (121.8028 25.0157),0.0,100.0
廣和街,1,2135,1,POINT (121.4624 24.9945),0.0,100.0
嶺腳寮,1,47,1,POINT (121.7508 25.0052),0.0,100.0
楓江路,1,201,1,POINT (121.4345 25.062),0.0,100.0
山溪里,1,275,1,POINT (121.55172 25.290889),0.0,100.0
南勢街,1,534,1,POINT (121.3588 25.075),0.0,100.0
南山路,1,25,1,POINT (121.5065 24.9897),0.0,100.0
員林街,1,77,1,POINT (121.442984 24.978282),0.0,100.0
商工路,1,1264,1,POINT (121.454 25.1868),0.0,100.0
啦卡路,1,152,1,POINT (121.553147 24.863755),0.0,100.0
四川路,1,1024,1,POINT (121.4528 24.9917),0.0,100.0
國慶路,1,2826,1,POINT (121.4632 24.9982),0.0,100.0
堵南街,1,40,1,POINT (121.6877 25.0827),0.0,100.0
大埔路,1,625,1,POINT (121.3665 24.9057),0.0,100.0
大德路,1,120,1,POINT (121.6922 25.0832),0.0,100.0
大義路,1,1122,1,POINT (121.376106 24.948608),0.0,100.0
大華一,1,12,1,POINT (121.7166 25.1011),0.0,100.0
大華三,1,73,1,POINT (121.6774 25.1286),0.0,100.0
太白街,1,60,1,POINT (121.7464 25.1477),0.0,100.0
孝二路,1,13,1,POINT (121.7394 25.1289),0.0,100.0
富基里,1,69,1,POINT (121.540628 25.289023),0.0,100.0
小坪頂,1,395,1,POINT (121.4839 25.1583),0.0,100.0
梅竹蹊,1,1376,1,POINT (121.8632 25.0349),0.0,100.0
民安路,1,1184,1,POINT (121.4661 25.0529),0.0,100.0
北寧路,2,1129,2,POINT (121.803422 25.144127),0.0,100.0
英士路,1,1207,1,POINT (121.4585 25.0225),0.0,100.0
華新二,1,35,1,POINT (121.6655 25.1073),0.0,100.0
萬福里,1,916,1,POINT (121.6047 25.0044),0.0,100.0
萬里加,1,1306,1,POINT (121.650866 25.208821),0.0,100.0
萬里區,1,240,1,POINT (121.6364 25.1642),0.0,100.0
萬順里,1,22,1,POINT (121.6041 25.0008),0.0,100.0
虎子山,1,50,1,POINT (121.944391 25.015188),0.0,100.0
裕民街,1,1127,1,POINT (121.4616 25.0659),0.0,100.0
豐年街,1,100,1,POINT (121.4283 25.0258),0.0,100.0
豐稔街,1,22,1,POINT (121.7608 25.1408),0.0,100.0
辛亥路,1,389,1,POINT (121.5388 25.0112),0.0,100.0
過港路,1,60,1,POINT (121.7383 25.1049),0.0,100.0
金華街,1,42,1,POINT (121.7296 25.1096),0.0,100.0
長樂路,1,659,1,POINT (121.4618 25.0903),0.0,100.0
集美街,1,897,1,POINT (121.4915 25.0547),0.0,100.0
集賢路,1,58,1,POINT (121.4837 25.0857),0.0,100.0
頂社路,1,69,1,POINT (121.655728 25.210529),0.0,100.0
龍源里,1,125,1,POINT (121.4511 25.132),0.0,100.0
華新一,1,40,1,POINT (121.6688 25.0921),0.0,100.0
興隆路,1,189,1,POINT (121.5443 24.9962),0.0,100.0
水源街,1,57,1,POINT (121.4432 25.1723),0.0,100.0
篤行路,1,1692,1,POINT (121.4305 24.9897),0.0,100.0
永平街,1,151,1,POINT (121.4592 25.0904),0.0,100.0
永豐街,1,628,1,POINT (121.4741 25.0181),0.0,100.0
汐止區,2,658,2,POINT (121.64793 25.060367),0.0,100.0
